concept|relations|other_type|text
변환 대상 확인 절차|process,state,function||작업을 시작하기 전에 지정 보고서의 경로와 버전, 잠금 상태를 한 번씩 대조한다. 변환 대상 확인 절차는 이름이 비슷한 다른 파일을 잘못 편집하는 일을 막는다.
원본 보존 기능|function,process||원문은 변경하지 않는 위치에 읽기 전용 사본으로 먼저 보관한다. 원본 보존 기능을 거친 뒤 별도 작업본을 만들어 편집을 시작한다.
요구 목록 정리 완료|function,process,state||변환 범위와 금지 사항, 결과 형식, 납품 파일을 한 표에 정리한다. 네 부류가 모두 명시돼야 요구 목록 정리 완료로 바꾸고 실제 편집에 들어간다.
서식 적용 담당자|function,process,role||서식 적용 담당자는 제목 수준을 정리한 뒤 본문 글꼴과 표 배치를 차례로 반영한다. 각 단계가 끝날 때마다 원문과 대조해 누락도 찾는다.
입력 파일 손상 보고|process,state,other|외부 입력 오류|파일이 열리지 않으면 시도한 경로와 프로그램, 오류 문구를 그대로 기록한다. 입력 파일 손상 보고를 남긴 건은 변환 완료로 세지 않고 정상 사본을 다시 요청한다.
산출물 인계 절차|function,process||검증을 마친 파일의 경로와 바뀐 범위, 아직 열린 항목을 한 메모에 모은다. 산출물 인계 절차는 이 정보를 사용자에게 전달해 실제 완료 수준을 확인하게 한다.
필드 목록 추출 절차|process,state||표지와 목차, 본문, 부록에서 유지해야 할 구성요소를 먼저 목록화한다. 필드 목록 추출 절차에서 개수와 위치를 기록하면 변환 중 빠진 대상을 뒤에서 대조할 수 있다.
변경 로그 생성 기능|function,process,state||수정할 때마다 페이지와 변경 이유, 그대로 둔 항목을 함께 적는다. 변경 로그 생성 기능은 검토자가 판단 근거를 찾고 필요하면 이전 상태로 되돌릴 수 있게 한다.
초안 저장 확인|function,state||저장 경로에 파일이 생긴 것만으로 작업 성공을 판단하지 않는다. 새 세션에서 다시 열어 내용이 보일 때 초안 저장 확인이 성립한다.
표 변환 담당자|process,role||편집자는 열 너비와 캡션을 새 양식에 맞추고 셀 값은 보존한다. 표 변환 담당자와 분리된 분석가는 수치의 합계와 의미를 검산한다.
글꼴 누락 보고|state,other|환경 의존 실패|렌더링에서 대체 글꼴이 나타나면 발생한 페이지와 사용 환경을 적는다. 글꼴 누락 보고가 있는 결과를 정상 화면으로 과장하지 않고 필요한 글꼴 설치를 별도 과제로 남긴다.
최종 패키지 검증 절차|process,state,function||납품 목록과 실제 폴더의 파일 수와 이름을 먼저 맞춰 본다. 최종 패키지 검증 절차는 이어서 해시와 열림 결과까지 대조해 누락이나 잘못된 판본을 찾는다.
목차 구조 점검 절차|process,state,function||제목 수준을 위에서 아래로 읽으며 장과 절의 관계를 확인한다. 목차 구조 점검 절차에서는 잘못된 들여쓰기와 빠진 장을 찾아 본문 구조에 맞게 고친다.
PDF 내보내기 기능|function,process||편집본을 고정 레이아웃 파일로 생성해 배포용 판을 만든다. PDF 내보내기 기능은 새 산출물을 추가할 뿐 원본 문서를 대체하거나 삭제하지 않는다.
페이지 렌더링 완료|function,state||문서의 모든 쪽을 이미지로 만든 뒤 각 화면에서 잘림과 겹침을 확인한다. 생성 누락이 없고 시각 검토도 끝나야 페이지 렌더링 완료로 기록한다.
검수표 작성 담당자|process,role||품질담당자는 구조와 내용, 파일 시험의 결과를 항목별로 남긴다. 검수표 작성 담당자가 표시한 실패는 편집자에게 돌아가 수정과 재검사를 거친다.
외부 도구 미설치 보고|state,other|환경 의존성 결측|필요한 프로그램이 없어 실행하지 못한 검사는 명령과 결측 환경을 적어 둔다. 외부 도구 미설치 보고에서는 대체 확인 결과를 따로 쓰고 미실행 검사를 성공으로 표시하지 않는다.
결과 경로 안내 기능|process,state,function||사용자에게는 검증된 최종 파일의 절대 경로와 정확한 이름을 전달한다. 결과 경로 안내 기능은 임시 원고나 렌더 캐시 위치가 산출물로 오인되지 않게 한다.
문서 속성 확인 절차|process,state||파일 속성에 저장된 제목과 작성 부서, 언어 설정을 읽는다. 문서 속성 확인 절차에서는 세 값을 요구 목록과 대조해 낡은 정보가 남았는지 찾는다.
본문 참조 재연결 기능|function,process,state||장이나 표를 옮긴 뒤에는 본문에서 가리키는 대상과 번호가 달라질 수 있다. 본문 참조 재연결 기능은 이동 결과를 따라 모든 교차 참조를 다시 맞춘다.
내부 링크 정상 상태|function,state||목차 항목과 그림 목록을 하나씩 눌러 실제 도착 위치를 확인한다. 모든 링크가 해당 제목과 그림으로 이동할 때 내부 링크 정상 상태가 성립한다.
링크 검사 담당자|process,role||품질담당자는 문서 안팎의 링크를 실제로 열어 응답과 도착 대상을 기록한다. 링크 검사 담당자는 실패 주소를 편집자에게 되돌려 수정 후 다시 시험하게 한다.
네트워크 차단 보고|state,other|외부 서비스 제한|외부 주소에 접속할 수 없으면 차단 환경과 시도한 검사를 기록한다. 네트워크 차단 보고는 미실행 외부 검사와 완료된 로컬 검증 범위를 분리해 보여 준다.
파일 열림 검증 절차|process,state,function||저장한 각 파일을 기존 편집 창이 아닌 새 세션에서 연다. 파일 열림 검증 절차는 내용과 페이지가 나타나는지 확인해 저장 성공을 실제 증거로 남긴다.
표지 요소 점검 절차|process,state||표지에서 제목과 기관, 날짜, 승인란이 모두 있는지 먼저 센다. 표지 요소 점검 절차는 각 요소가 지정 위치와 정렬을 따르는지도 함께 확인한다.
대체 텍스트 삽입 기능|function,process||정보성 그림에는 독자가 놓칠 핵심 목적과 관계를 설명한다. 대체 텍스트 삽입 기능은 내용이 없는 장식 이미지를 설명문 대신 장식으로 표시한다.
접근성 검사 완료|function,process,state||검사표에서 제목 순서와 언어 태그, 대체텍스트의 누락 건수를 확인한다. 세 항목이 모두 0건이어야 접근성 검사 완료로 바뀐다.
접근성 검사 담당자|function,process,role||검토자는 자동 검사에서 나온 표시를 실제 페이지와 함께 읽는다. 접근성 검사 담당자는 문맥에 맞춰 진짜 오류와 오탐을 구분하고 수정 대상을 편집자에게 전달한다.
원본 이미지 누락 보고|process,state,other|필수 자산 결측|고해상도 원본을 받지 못했으면 현재 사용한 대체 이미지의 출처와 해상도를 기록한다. 원본 이미지 누락 보고에는 재수신이 필요한 파일명과 영향받은 페이지도 남긴다.
품질 결과 요약 기능|function,process||검사 결과를 통과와 실패, 미실행의 세 상태로 먼저 나눈다. 품질 결과 요약 기능은 각 상태의 건수와 근거를 보여 사용자가 완료 수준을 판단하게 한다.
페이지 순서 대조 절차|process,state||원문의 장 배열과 승인된 새 순서를 나란히 놓고 한 항목씩 연결한다. 페이지 순서 대조 절차에서 누락과 중복이 없음을 확인한 뒤 목차를 갱신한다.
번호 체계 적용 기능|function,process||장과 표, 그림의 순번은 새 배치에 따라 다시 매긴다. 번호 체계 적용 기능은 문서 구조 번호만 바꾸고 법정 식별번호는 원형으로 보존한다.
