concept|relations|other_type|text
본문 변환 범위|function,role||요청서는 보고서의 표와 각주에는 손대지 말고 서술 문단만 요약 형식으로 바꾸라고 적었다. 이 본문 변환 범위에서는 비본문 요소를 원형으로 보존한다.
원자료 보존 경계|function,boundary||숫자와 고유명사는 표기가 어색해 보여도 원본 대조 없이 고치지 말라는 금지가 먼저 제시됐다. 원자료 보존 경계 때문에 맞춤법 정리도 그 값들에는 적용하지 않는다.
제목 유지 경계|classification,boundary||기존 제목은 그대로 두고 본문 장절의 순서만 독자 흐름에 맞춰 옮기라는 지시다. 제목 유지 경계는 재배치 기능이 제목 문구까지 바꾸는 것을 막는다.
필수 표기 담당자|function,role,classification||첫 페이지에는 확인된 작성일과 부서명을 넣어야 하지만 승인자 이름은 제공되지 않았다. 필수 표기 담당자의 역할은 두 항목만 채우고 서명은 추정하지 않는 것이다.
명령이 아닌 참고 배경|boundary,other|맥락과 지시 구분|사용자는 오래된 양식이 불편했던 경험을 말했을 뿐 새 색을 지정하지 않았다. 이 명령이 아닌 참고 배경을 디자인 선택 승인으로 확대하지 말고 색상은 질문으로 남긴다.
요약본 완료 조건|function,role||완료 판단에는 분량뿐 아니라 구조와 검수 자료도 필요하다고 요청서가 명시한다. 요약본 완료 조건은 세 쪽 이내, 항목 순서 유지, 누락 점검표 첨부를 모두 충족할 때 성립한다.
부록 제외 범위|function,role,classification||변환 담당자는 본문만 새 형식으로 고치고 부록 A와 B는 편집하지 않는다. 부록 제외 범위는 두 부록을 작업 대상에서 빼면서도 최종 파일에는 원형으로 포함하게 한다.
표제어 번역 경계|classification,boundary||영어로 적힌 항목 제목은 한국어로 옮기되 등록 제품명은 원어를 유지하라는 구분이 있다. 표제어 번역 경계는 일반 표제와 고유 제품명을 서로 다른 번역 대상으로 분류한다.
단위 보존 요구|function,boundary||표의 행 순서는 바꿀 수 있지만 수치 뒤의 밀리미터와 퍼센트 표기는 그대로 두어야 한다. 단위 보존 요구는 재배열 기능이 측정 표기까지 변환하지 못하게 한다.
검토자 역할 지정|role,classification||변환자는 의심되는 오탈자에 표시만 남기고 의미를 고치는 결정은 내리지 않는다. 검토자 역할 지정에 따라 내용 수정 여부는 담당자가 최종 분류한다.
강조색 선택 보류|boundary,other|결정 미지정|요청서에는 강조가 필요하다는 말만 있고 사용할 색상은 비어 있다. 강조색 선택 보류 상태에서는 기업 로고의 색을 임의로 가져오지 않고 사용자 선택을 기다린다.
PDF 동시 산출 조건|function,role,classification||전달 목록은 수정 가능한 원본과 배포용 읽기 전용 파일을 각각 요구한다. PDF 동시 산출 조건은 두 형식을 모두 만들고 열림까지 확인해야 완료로 인정한다.
본문 표제 재배치|function,role||각 장의 번호는 보존하면서 핵심 결론 문단을 장의 맨 앞으로 옮기라는 편집 요청이 들어왔다. 본문 표제 재배치는 내용 삭제 없이 표제와 결론의 위치 관계만 조정하는 작업이다.
법적 문구 수정 금지|function,boundary||인용된 조항은 문장이 길고 낯선 표현이 있어도 원문 그대로 두어야 한다. 법적 문구 수정 금지는 일반 문체 정리보다 우선하며 축약과 순화를 모두 막는다.
날짜 형식 통일 범위|classification,boundary||서술 본문에 섞인 날짜는 연-월-일 순서로 맞추라는 지시다. 날짜 형식 통일 범위 밖에 있는 직접 인용의 날짜는 원래 표기를 유지한다.
각주 확인자 역할|role,classification||각 번호가 올바른 본문 문장과 출처를 가리키는지 대조하는 사람이 필요하다. 각주 확인자 역할은 불일치를 보고하되 누락된 출처를 추정해 새로 채우지 않는다.
예시문 산출 제외 범위|boundary,other|예시와 결과 구분|사용자가 전달한 짧은 문장은 원하는 구조를 설명하기 위한 참고 자료였다. 예시문 산출 제외 범위에 놓인 그 문장을 실제 결과물에 복사하지 않고 형식만 참고한다.
표 여섯 개 완료 조건|function,role||요청된 여섯 표에는 각각 제목과 단위와 출처가 필요하다. 표 여섯 개 완료 조건은 세 요소를 갖춘 표가 여섯 개 모두 있을 때 충족되며 다섯 개만 끝난 상태는 부분 완료다.
초록 우선 변환 범위|function,role,classification||마감 전 시간이 모자라면 초록과 결론부터 새 양식으로 옮기라는 우선순위가 주어졌다. 초록 우선 변환 범위는 나머지 절을 자동 완료로 보지 않고 미완료 항목으로 보고하게 한다.
저자명 보호 경계|classification,boundary||한 저자의 한글 이름이 낯설게 적혀 있지만 확인할 원문 명단이 없다. 저자명 보호 경계는 대조 근거가 생기기 전까지 그 표기를 임의로 교정하지 못하게 한다.
문단 번호 생성 기능|function,boundary||번호가 없는 본문에는 장과 절의 계층을 드러내는 새 번호를 붙인다. 문단 번호 생성 기능을 적용할 때 기존 그림 번호와 같은 표식이 생기지 않도록 별도 체계를 쓴다.
최종 검수 책임자|role,classification||납품 직전에는 파일 열림과 페이지 순서, 글꼴 포함 여부를 검사해야 한다. 최종 검수 책임자는 기술 검증을 맡으며 문서 내용의 승인권자와는 별도 역할이다.
표지 로고 미지정|boundary,other|요구 미정|표지 시안에 로고 자리가 있지만 사용할 자산은 전달되지 않았다. 표지 로고 미지정 상태에서는 새 로고를 찾거나 만들지 않고 해당 자리를 비워 둔다.
두 언어 산출 조건|function,role,classification||납품 대상에는 한국어 문서와 영어 문서가 각각 한 부씩 적혀 있다. 두 언어 산출 조건은 두 파일을 만들고 표 번호의 대응 관계까지 검사해야 충족된다.
그림 설명 변환 범위|function,role||편집자는 그림 아래 캡션을 같은 문체로 다듬되 이미지에 박힌 글자는 건드리지 않는다. 그림 설명 변환 범위는 설명 문장에만 기능을 적용하고 그림 자체는 원형으로 둔다.
인용문 보존 경계|classification,boundary||직접 인용에는 현재 규범과 다른 맞춤법이 포함돼 있다. 인용문 보존 경계는 그 차이를 오류로 고치지 않고 필요하면 바깥 주석으로만 설명하게 한다.
목차 갱신 기능|function,boundary||장 순서를 바꾼 뒤에는 목차 항목도 같은 순서로 다시 연결해야 한다. 목차 갱신 기능은 최종 렌더링 전까지 쪽 번호를 임의로 채우지 않고 자동 계산을 기다린다.
서식 변환 담당자|function,role,classification||지정된 글꼴과 여백, 제목 수준을 문서 전체에 적용하는 담당이 정해졌다. 서식 변환 담당자는 표현 형식만 다루고 원문의 주장이 사실인지 평가하는 역할은 맡지 않는다.
마감 시각으로 확정되지 않은 배경|boundary,other|배경 일정|사용자는 오후 회의에서 자료를 볼 예정이라고 상황을 설명했다. 이 마감 시각으로 확정되지 않은 배경을 제출 기한으로 확정하지 말고 정확한 전달 시각은 별도로 묻는다.
오류 목록 첨부 조건|function,role,classification||고치지 못한 의심 항목도 검토자가 찾을 수 있게 페이지와 보류 이유를 적어야 한다. 오류 목록 첨부 조건은 이 기록을 최종 파일과 함께 제공할 때 완료된다.
결론절 전용 범위|function,role,classification||보도자료 문체를 적용할 대상은 보고서의 마지막 절 하나로 한정됐다. 결론절 전용 범위 밖의 서론과 방법 절은 기존 보고서 문체를 유지한다.
통계값 반올림 금지|classification,boundary||표가 넓더라도 원자료의 소수 자릿수를 줄여서는 안 된다는 제약이 있다. 통계값 반올림 금지는 공간 조정을 이유로 수치 정밀도를 바꾸는 행위까지 포함한다.
문장 분리 기능의 한계|classification,boundary||읽기 어려운 긴 설명은 두 문장으로 나눌 수 있다. 문장 분리 기능의 한계는 분리 과정에서도 조건과 예외의 연결을 모두 보존하게 한다.
승인권자 역할 경계|role,classification||변환 담당자는 요청을 반영한 초안을 작성하고 검토 의견을 표시한다. 승인권자 역할 경계에 따라 최종 문구를 확정하는 일은 팀장에게 남는다.
지시가 아닌 색상 예시|boundary,other|선호 예시|사용자는 지난 보고서의 파란색이 보기 좋았다고 회상했지만 새 문서 색을 지정하지 않았다. 지시가 아닌 색상 예시는 그 발언을 필수 적용 요구로 해석하지 않게 한다.
