concept|relations|other_type|text
북부 수위 미측정 폭|state,attribute,boundary||센서가 멈춘 두 시간은 0미터로 채울 수 없다. 현장 물자국이 가리키는 하한과 상한으로 북부 수위 미측정 폭을 남겨 통제선을 정한다.
대피 인원 추정 구간|comparison,attribute,state||등록대장에는 누락과 중복이 함께 있을 수 있어 합계 하나만 믿기 어렵다. 두 오류 가능성을 비교한 대피 인원 추정 구간으로 최소·최대 물자 수요를 제시한다.
교량 안전 판정 경계|boundary,state,attribute||사진 한 장에서 균열이 보여도 통행 가능과 불가를 바로 가를 수 없다. 구조기사가 계측을 마칠 때까지 교량 안전 판정 경계는 보류 등급으로 남는다.
창고 재고 불확실량|attribute,state,other|재고 측정 불확실|봉인된 상자와 중복 전표가 장부 수량을 흐린다. 창고 재고 불확실량을 확인분과 잠정분으로 나눠 배분 위험을 드러낸다.
강우 예보 시나리오 차|comparison,state,boundary||세 모형이 비의 시작 시각을 서로 다르게 예측했다. 강우 예보 시나리오 차의 각 경우에서 대피 마감선을 계산하고 평균 하나로 합치지 않는다.
산사태 범위 전파선|state,attribute,boundary||발생 지점의 좌표 오차는 통제 반경에도 그대로 영향을 준다. 그 오차를 평균 범위에 더한 산사태 범위 전파선 바깥에 주민 접근선을 둔다.
구급차 도착 시간 오차|state,comparison,attribute||교통 정체 여부와 우회 사용에 따라 도착 예상이 크게 갈린다. 두 조건을 나눠 계산한 구급차 도착 시간 오차를 한 시각이 아닌 범위로 안내한다.
피해 가구 중복 범위|comparison,attribute,boundary||기관 두 곳의 명단에 같은 주소가 일부 반복된다. 피해 가구 중복 범위의 최솟값과 최댓값을 대조해 단순 합계로 물자를 과다 배정하지 않는다.
정전 원인 판정 경계|boundary,state||침수 흔적과 설비 고장 신호가 함께 발견됐다. 점검 결과가 나오기 전 정전 원인 판정 경계에서 어느 한 원인으로 확정 분류하지 않는다.
연료 소비 미지 계수|attribute,other|모형 매개변수 불확실|운행일지에 공회전 시간이 빠져 실제 소비율을 알기 어렵다. 연료 소비 미지 계수의 낮은 값과 높은 값으로 잔여 운행 가능 거리를 각각 계산한다.
헬기 운항 확률 차|comparison,state||풍속 예보마다 출동 가능성이 크게 달라진다. 헬기 운항 확률 차를 확정 운항으로 바꾸지 말고 지상 이송 대안을 계속 유지한다.
감염 의심 분류 오차선|state,attribute,boundary||두 질환의 증상이 겹치는 환자는 첫 문진만으로 범주가 바뀔 수 있다. 감염 의심 분류 오차선을 격리 수요의 여유 폭에 포함하고 재평가한다.
저수조 수질 측정오차|state,attribute,boundary||같은 시료를 반복 검사했는데 값이 음용 기준 양쪽으로 흩어졌다. 저수조 수질 측정오차를 반영해 경계 부근 물은 안전으로 확정하지 않는다.
도로 복구 기간 폭|comparison,attribute,state||장비 도착과 토사량에 따라 완료 예상이 여러 시간 차이 난다. 도로 복구 기간 폭의 빠른 경우와 늦은 경우를 모두 배차표에 반영한다.
실종자 상태 경계|boundary,state||연락이 닿지 않는다는 사실만으로 부상이나 고립을 단정할 수 없다. 실종자 상태 경계는 위치 확인 전까지 상태를 미상으로 분류한다.
식량 수요 누락 범위|attribute,other|수요 결측|명부에 없는 주민이 있다는 현장 보고가 들어왔다. 식량 수요 누락 범위의 추정 상한만큼 최소 보급량에 안전 여유를 더한다.
화재 확산 시나리오 차|comparison,state,boundary||풍향 모형별로 불길이 번질 방향이 달라진다. 화재 확산 시나리오 차에서 겹치는 곳은 공통 위험구역으로, 나머지는 조건부 구역으로 관리한다.
대피 노선 안전 오차선|state,attribute,boundary||수위 센서와 도로 위치 모두 작은 측정 오차를 가진다. 두 오차를 합친 대피 노선 안전 오차선만큼 통과 가능 경계를 안전 쪽으로 후퇴시킨다.
의료 산소 잔량 오차|state,attribute,comparison||압력계 정밀도 때문에 표시 잔량이 실제보다 높을 수 있다. 의료 산소 잔량 오차의 하한을 기준으로 환자별 사용 가능 시간을 비교한다.
구호 물자 도착 범위|comparison,attribute,boundary||출발 지연과 도로 복구 상태가 도착시각을 함께 흔든다. 구호 물자 도착 범위는 가장 빠른 시각과 가장 늦은 시각을 모두 제시한다.
댐 방류 원인 경계|boundary,state,comparison||계획 방류표와 비상 운전 로그가 서로 다른 이유를 가리킨다. 운영 기록을 대조하기 전 댐 방류 원인 경계에서 원인 분류를 보류한다.
위성 사진 판독 공백|attribute,other|관측 해상도 한계|구름에 가린 면적에는 피해 흔적이 보이지 않는다. 위성 사진 판독 공백을 피해 0으로 기록하지 말고 미관측 구역으로 남긴다.
통신 복구 확률 격차|comparison,state||부품 도착 여부에 따라 오늘 복구 가능성이 크게 달라진다. 통신 복구 확률 격차가 사라질 때까지 단일 시각을 약속하지 않고 우회 채널을 운영한다.
