concept|relations|other_type|text
납품 조건을 설계 과제로 전환|process,part_of,state||고객이 말한 "튼튼하고 단정한 책장"을 그대로 작업명으로 쓰면 완료 여부를 확인할 수 없다. 납품 조건을 설계 과제로 전환하려면 하중, 외형 치수, 표면 품질을 각각 측정 가능한 항목으로 풀어야 한다.
외형 치수 확정 작업|process,state,attribute||재단을 시작하기 전에 설치 벽과 이동 통로를 다시 재어 가구의 폭과 높이를 고정한다. 외형 치수 확정 작업은 수치가 도면과 주문서에 함께 반영될 때 끝난다.
선반 하중 시험 과제|process,function,attribute||책 무게를 견딘다는 요구는 재료 이름만 고르는 일로 검증되지 않는다. 선반 하중 시험 과제에는 시험 길이, 적재 무게, 허용 처짐을 따로 적는다.
마감 색상 승인 단계|process,state,boundary||본판에 도료를 바르기 전 자투리 목재에 여러 배합을 시험해 고객의 승인을 받는다. 마감 색상 승인 단계가 지나지 않으면 색이 비슷해 보여도 대량 도장은 시작하지 않는다.
벽체 조사와 고정 방식 결정|process,function,other|현장 조건 확인|콘크리트벽과 석고보드벽은 같은 나사 계획을 쓸 수 없으므로 설치 장소를 먼저 조사한다. 벽체 조사와 고정 방식 결정은 앵커 구매보다 앞선 별도 작업으로 둔다.
사용자 동선 측정 과제|process,attribute,role||식탁 주변의 의자 이동 폭과 사람이 지나는 길을 현장에서 잰다. 사용자 동선 측정 과제의 결과는 상판 크기와 다리 위치를 정하는 입력으로 쓰인다.
기능 요구 목록의 분리|part_of,classification,function||서랍장 주문에서 보관량, 잠금, 이동성은 서로 다른 기능 요구다. 기능 요구 목록의 분리는 한 문장에 섞인 기대를 개별 검증 항목으로 바꾸는 작업이다.
미관 요구의 견본화|process,attribute,boundary||"따뜻한 느낌"처럼 주관적인 표현은 수종, 색, 광택 견본으로 구체화한다. 미관 요구의 견본화가 끝나야 제작자가 임의의 취향으로 목표를 대신하지 않는다.
배송 경로 확인 작업|process,state,other|현장 접근 정보|완성품이 현관과 계단을 통과하지 못하면 작업실에서의 완성은 납품 성공이 아니다. 배송 경로 확인 작업에는 문 폭, 회전 공간, 엘리베이터 제한을 기록한다.
분해 조립 요구의 모듈 과제|part_of,process,function||이사가 잦은 사용자를 위해 긴 프레임을 여러 모듈로 나누고 연결부를 별도로 설계한다. 분해 조립 요구의 모듈 과제는 조립 횟수와 공구 접근성까지 검증해야 한다.
도면 승인과 재단 착수의 의존|process,state,boundary||치수 도면이 승인되기 전에는 목재를 잘라 되돌릴 수 없는 손실을 만들지 않는다. 도면 승인과 재단 착수의 의존을 계획표에 표시하면 급한 납기에도 순서를 지킬 수 있다.
재료 수분 측정 작업|process,attribute,state||입고한 판재의 함수율을 여러 지점에서 재고 작업장 환경과 맞는지 판단한다. 재료 수분 측정 작업은 뒤틀림 위험이 큰 재료를 가공 대기 목록으로 돌리는 근거가 된다.
판재 결함 지도 작성|process,part_of,attribute||옹이, 갈라짐, 변색 위치를 판재마다 표시한 뒤 부품 배치를 정한다. 판재 결함 지도 작성은 재단 목록을 실제 재료 상태에 맞게 수정하는 세부 작업이다.
재단 목록 검산 과제|process,state,comparison||도면에서 뽑은 부품 수와 조립 구조에 필요한 수량을 다른 사람이 대조한다. 재단 목록 검산 과제는 누락과 중복이 없다는 확인 기록을 남겨야 종료된다.
목리 방향 배치 계획|process,function,attribute||문짝과 상판이 자연스럽게 이어져 보이도록 인접 부품의 목리 방향을 미리 배치한다. 목리 방향 배치 계획은 치수 최적화와 별도로 검토해야 한다.
절단 여유 산정 작업|process,attribute,function||대패질과 최종 다듬기에 필요한 여유를 부품별로 계산해 거친 재단 치수에 더한다. 절단 여유 산정 작업이 빠지면 도면 치수대로 자른 재료를 정확히 마감할 수 없다.
부품 번호 부여 과제|classification,part_of,function||비슷한 길이의 막대가 뒤섞이지 않도록 도면, 재단 목록, 실제 목재에 같은 번호를 붙인다. 부품 번호 부여 과제는 이후 검사와 조립 위치 추적을 쉽게 만든다.
기준면 표시 작업|process,state,function||각 부재에서 곧고 평평한 한 면을 먼저 만든 뒤 기준 표시를 남긴다. 기준면 표시 작업이 완료되지 않은 재료는 반대쪽 두께 가공으로 넘기지 않는다.
거친 재단과 정밀 재단의 분리|process,boundary,part_of||긴 판재를 다루기 쉬운 크기로 나누는 일과 최종 치수로 맞추는 일을 같은 단계로 묶지 않는다. 거친 재단과 정밀 재단의 분리는 재료 안정화 시간을 계획에 넣게 한다.
재료 안정화 대기 단계|process,state,other|환경 적응 대기|거칠게 자른 목재는 내부 응력이 풀리며 조금 휠 수 있으므로 하루 이상 작업장에 둔다. 재료 안정화 대기 단계가 끝난 뒤에야 최종 평면과 두께를 다시 잡는다.
평면 가공 검증점|process,state,attribute||대패 작업 뒤 직선자와 틈새 게이지로 면의 휨과 비틀림을 확인한다. 평면 가공 검증점에서 기준을 넘은 부재는 폭 재단 전에 다시 교정한다.
두께 맞춤 완료 조건|state,comparison,attribute||한 부품만 목표 두께에 닿아도 같은 조립군의 준비가 끝난 것은 아니다. 두께 맞춤 완료 조건은 묶음 전체의 편차가 허용 범위 안에 드는 것이다.
직각 재단 검사 작업|process,attribute,boundary||절단면을 각도자로 재고 맞은편 대각 길이도 비교해 직각을 확인한다. 직각 재단 검사 작업은 눈으로 반듯해 보인다는 판단과 구분된다.
좌우 대칭 부품 짝짓기|classification,part_of,state||서랍 옆판처럼 거울상이 되는 부품은 한 쌍으로 묶어 표시하고 함께 가공한다. 좌우 대칭 부품 짝짓기는 홈 방향을 뒤집어 만드는 실수를 줄인다.
예비 부품 확보 작업|process,state,other|손실 대비 여유|깨지기 쉬운 얇은 살대는 필요한 수량보다 몇 개 더 가공해 둔다. 예비 부품 확보 작업은 불량이 생겼을 때 전체 일정을 멈추지 않게 한다.
접합부 시험편 제작|process,function,boundary||새로운 수종이나 공구를 쓰면 본부품보다 먼저 같은 크기의 시험 접합을 만든다. 접합부 시험편 제작은 이론상 치수와 실제 끼움 상태의 차이를 드러낸다.
장부 치수 산정 과제|process,attribute,part_of||부재 두께와 하중 방향을 기준으로 장부의 폭, 길이, 어깨 깊이를 정한다. 장부 치수 산정 과제의 결과는 가공 도면에 별도 치수로 남긴다.
홈 위치 표준화 작업|process,function,state||여러 선반의 홈이 같은 높이에 오도록 하나의 기준선과 지그를 사용한다. 홈 위치 표준화 작업은 첫 부품의 위치를 검사한 뒤 나머지 가공으로 이어진다.
접합 순서 모의 조립|process,state,function||풀이 없는 상태에서 부품이 어떤 방향으로 들어가고 조임 도구가 닿는지 시험한다. 접합 순서 모의 조립은 실제 접착 중 막힐 지점을 미리 찾는 과제다.
클램프 배치 계획|process,part_of,function||조립 전에 필요한 클램프 수와 압력을 줄 위치를 도면에 표시한다. 클램프 배치 계획에는 접착제가 굳기 전에 모든 도구를 조일 수 있는 순서도 포함한다.
접착제 개방 시간 계산|process,attribute,other|작업 가능 시간|도포부터 압착까지 허용되는 시간을 제품 설명과 실내 온도로 계산한다. 접착제 개방 시간 계산은 한 번에 조립할 부품 수를 정하는 제약이 된다.
접착 전 표면 청소 과제|process,state,function||기름, 연필 자국, 느슨한 먼지를 없애고 접합면이 마른 상태인지 살핀다. 접착 전 표면 청소 과제가 끝나지 않으면 맞춤이 좋아도 풀칠을 시작하지 않는다.
건식 조립 치수 점검|process,state,comparison||풀을 바르지 않은 채 몸체를 세워 전체 폭과 두 대각선을 잰다. 건식 조립 치수 점검에서 차이가 크면 접합부를 수정하고 다시 맞춘다.
서랍 간극 시험 작업|process,attribute,function||서랍통을 임시로 넣어 앞뒤 움직임과 좌우 여유를 여러 위치에서 확인한다. 서랍 간극 시험 작업은 도장 두께까지 고려한 최종 여유를 정한다.
문짝 경첩 위치 검토|process,function,state||문이 열릴 때 옆판과 부딪히지 않고 무게가 고르게 지지되는 위치를 모형으로 확인한다. 문짝 경첩 위치 검토가 끝나면 나사 구멍 중심을 표시한다.
철물 호환성 확인 과제|process,boundary,attribute||레일 길이, 나사 규격, 판재 두께가 서로 맞는지 실제 부품과 도면을 대조한다. 철물 호환성 확인 과제는 비슷하게 생긴 제품을 같은 규격으로 간주하지 않는다.
배선 통로 설계 작업|process,function,part_of||조명이나 충전기를 넣는 가구에는 전선이 꺾이지 않고 교체 가능한 통로를 마련한다. 배선 통로 설계 작업은 구멍 위치뿐 아니라 열과 날카로운 모서리도 검토한다.
환기 면적 계산 과제|process,attribute,function||전자기기를 넣는 수납장은 발생 열과 개구부 위치를 바탕으로 필요한 통풍 면적을 정한다. 환기 면적 계산 과제의 결과는 뒤판 구멍과 내부 칸막이 도면에 나뉘어 반영된다.
넘어짐 방지 고정 계획|process,function,state||키 큰 책장은 사용 하중과 바닥 수평을 고려해 벽 고정점을 정한다. 넘어짐 방지 고정 계획은 설치 부품, 작업 권한, 확인 시험을 각각 할 일로 나눈다.
모서리 안전 가공 과제|process,function,attribute||아이 손이 닿는 부분은 날카로운 모서리를 정해진 반지름으로 둥글린다. 모서리 안전 가공 과제는 위치 목록과 반지름 측정으로 완료를 판정한다.
손 끼임 방지 간격 검토|process,boundary,attribute||접이식 문과 프레임 사이의 틈이 손가락을 위험하게 잡지 않는지 전 구간을 확인한다. 손 끼임 방지 간격 검토에서 문제가 생기면 힌지나 정지 위치를 바꾼다.
하중 경로 표시 작업|process,part_of,function||상판에 놓인 무게가 다리와 바닥으로 전달되는 경로를 도면에 그린다. 하중 경로 표시 작업은 약한 연결부와 보강이 필요한 지점을 별도 과제로 만든다.
보강대 위치 시험 과제|process,comparison,state||보강대 후보 위치마다 처짐과 무릎 공간을 비교해 가장 나은 배치를 찾는다. 보강대 위치 시험 과제는 강도만 높이고 사용성을 해치는 안을 제외한다.
뒤판 강성 검증 작업|process,function,attribute||얇은 뒤판이 몸체의 뒤틀림을 충분히 막는지 측면 힘을 가해 본다. 뒤판 강성 검증 작업의 결과에 따라 홈 깊이나 고정 간격을 조정한다.
다리 수평 조절 과제|process,function,state||고르지 않은 바닥에서도 상판이 흔들리지 않도록 조절 장치의 범위를 정한다. 다리 수평 조절 과제에는 최대 높이에서의 안정성 시험도 들어간다.
표면 연마 단계의 세분화|process,part_of,state||거친 흠 제거, 결 정돈, 마감 준비를 서로 다른 사포 단계로 나눈다. 표면 연마 단계의 세분화는 각 단계 뒤 남은 흠을 조명 아래 확인하게 한다.
사포 입도 전환 검사점|process,state,boundary||이전 입도의 깊은 흠이 사라진 뒤에만 더 고운 사포로 바꾼다. 사포 입도 전환 검사점은 표면이 매끈하게 느껴진다는 인상만으로 통과하지 않는다.
접착제 자국 탐지 과제|process,state,function||도료를 올리기 전 비스듬한 빛과 물 적심으로 굳은 풀 자국을 찾는다. 접착제 자국 탐지 과제에서 표시된 곳은 다시 긁고 연마한다.
모서리 형태 통일 작업|process,comparison,attribute||여러 문짝의 둥근 정도를 견본 게이지와 맞춰 서로 다른 곡률이 섞이지 않게 한다. 모서리 형태 통일 작업은 한 장씩 좋아 보이는지를 넘어 세트 전체를 비교한다.
마감 전 먼지 제거 과제|process,state,function||압축 공기만 쓰지 않고 진공과 점착포로 홈과 모서리의 가루를 걷어 낸다. 마감 전 먼지 제거 과제는 닦은 천에 입자가 거의 묻지 않을 때 완료된다.
도료 배합 기록 작업|process,attribute,other|배합 이력 보존|색소와 희석제의 양을 저울로 재고 배치마다 기록한다. 도료 배합 기록 작업은 다음 날 만든 혼합물이 첫 도막과 달라지는 문제를 막는다.
시험 도장 관찰 단계|process,state,attribute||자투리 판에 도료를 바른 뒤 젖었을 때와 완전히 마른 뒤의 색을 모두 본다. 시험 도장 관찰 단계는 건조 시간과 광택이 승인 기준에 닿아야 끝난다.
초벌 도막 완료 조건|state,process,boundary||표면이 덮였다는 사실만으로 초벌 작업을 마친 것으로 보지 않는다. 초벌 도막 완료 조건에는 흘러내림, 기포, 덜 칠한 모서리가 없다는 점이 들어간다.
도막 사이 연마 과제|process,function,state||첫 도막이 충분히 굳은 뒤 솟은 결만 가볍게 다듬고 가루를 제거한다. 도막 사이 연마 과제는 다음 층의 접착과 촉감을 위한 준비 작업이다.
마감 건조 구역 준비|process,state,function||먼지가 적고 환기되며 사람의 접촉을 막을 공간을 도장 전에 확보한다. 마감 건조 구역 준비에는 받침 위치와 이동 동선 점검도 포함한다.
완전 경화 대기 작업|process,state,other|시간 의존 대기|표면이 손에 묻지 않아도 내부 도막은 아직 약할 수 있으므로 제품별 경화 시간을 지킨다. 완전 경화 대기 작업이 끝나기 전에는 철물 조립이나 포장을 하지 않는다.
광택 균일성 검사 과제|process,comparison,attribute||같은 각도의 조명을 비춰 문짝과 몸체의 반사 차이를 살핀다. 광택 균일성 검사 과제에서 경계가 보이면 해당 면의 도막과 연마 상태를 다시 확인한다.
색상 편차 승인 작업|process,state,boundary||천연 목재의 무늬 차이와 도장 불량을 구분해 허용 가능한 범위를 견본으로 제시한다. 색상 편차 승인 작업은 제작자가 혼자 판단하지 않고 주문자 확인을 남긴다.
마감 결함 보수 과제|process,state,function||먼지 알갱이, 흘러내림, 핀홀을 위치별로 표시하고 결함 종류에 맞춰 갈아낸다. 마감 결함 보수 과제는 전체를 다시 칠할지 국부 보수할지도 정해야 한다.
서랍 레일 설치 작업의 분해|process,part_of,function||레일 위치 표시, 예비 구멍, 고정, 평행 확인을 한 번의 작업으로 뭉치지 않는다. 서랍 레일 설치 작업의 분해는 어느 단계에서 틀어졌는지 찾게 해 준다.
경첩 컵 가공 시험|process,state,boundary||본 문짝에 구멍을 내기 전 같은 두께의 자투리에 깊이와 가장자리 여유를 시험한다. 경첩 컵 가공 시험이 맞아야 문짝 가공 작업을 승인한다.
손잡이 중심선 표시 과제|process,attribute,function||여러 문짝의 손잡이가 같은 높이에 오도록 공통 기준선과 지그를 만든다. 손잡이 중심선 표시 과제의 완료는 좌우 거리 측정으로 확인한다.
