concept|relations|other_type|text
반복 하중 손상 단계|classification,process,function||인장과 압축 시험은 물리적으로 다르지만 입력, 누적 변화, 실패 판정이라는 순서를 공유한다. 반복 하중 손상 단계는 이 순서만 대응시키고 손상 지표는 시험별로 정한다.
가속 노화 시간 환산|function,process,boundary||높은 온도에서 얻은 변화율을 사용 환경의 시간으로 옮길 때 가속 노화 시간 환산을 쓴다. 시간 배율은 검증된 온도 구간을 벗어나면 적용하지 않는다.
소형 시편 적용 한계|boundary,process,classification||균일한 쿠폰 시험의 응력은 실제 부품의 모서리 집중을 담지 못한다. 소형 시편 적용 한계는 크기가 바뀔 때 추가해야 할 형상 검증을 표시한다.
규격별 재료 등급 대응|classification,function,boundary||서로 다른 규격의 이름 대신 공통 성능 구간을 기준으로 규격별 재료 등급 대응을 만든다. 이름이 같다는 이유만으로 등급을 합치지는 않는다.
균열 진행 순서|process,boundary||균열의 시작, 확장, 최종 분리라는 균열 진행 순서는 여러 소재에 공통으로 적용할 수 있다. 다만 단계마다 걸리는 시간은 새 소재에서 다시 측정한다.
온도 척도 보정 범위|classification,process,boundary,function||섭씨와 절대온도를 같은 기준으로 바꾼 뒤 반응 구간을 연결한다. 온도 척도 보정 범위 밖의 외삽은 별도 검증 없이는 허용하지 않는다.
인장과 굽힘의 역할 대응|classification,process,boundary||하중원, 응력 집중부, 파손 결과의 기능을 기준으로 인장과 굽힘의 역할 대응을 정한다. 두 시험의 응력 분포가 같다고 가정하지 않는다.
부식 진행 단계|function,process,classification||수분 침투에서 계면 반응과 박리로 이어지는 부식 진행 단계는 염수와 산성 환경을 비교하는 공통 구조다. 반응 속도는 환경마다 별도로 보정한다.
실험실 결과의 현장 한계|boundary,process,function||실험실의 일정한 조건은 날씨와 정비 주기가 바뀌는 현장과 다르다. 실험실 결과의 현장 한계를 명시해야 전이된 규칙을 사실처럼 과장하지 않는다.
산업별 합격 기준 대응|classification,function,process,boundary||두 산업에서 쓰는 하한과 판정 단위를 공통 척도로 맞춰 산업별 합격 기준 대응을 만든다. 수치 대응이 법적 인증의 효력까지 옮기는 것은 아니다.
응력 누적의 공통 구조|process,classification,other|추상 과정 구조|반복 입력, 내부 축적, 임계 도달이라는 응력 누적의 공통 구조를 다른 재료에 적용한다. 미세한 손상 기구는 재료에 맞게 새로 넣는다.
하중 주기 환산 조건|classification,process,boundary||빈도와 총 반복수를 나누어 계산하는 것이 하중 주기 환산 조건의 핵심이다. 총횟수가 같아도 열 이력이 같다고 보지는 않는다.
코팅층과 접착계면 구조|classification,process,function||기재, 계면, 표면층의 위치 관계를 코팅층과 접착계면 구조로 대응한다. 화학 결합 방식은 위치와 별개의 속성으로 남긴다.
잔여 수명 산출 단계|function,process,boundary||초기 상태를 확인하고 하중 이력을 넣은 뒤 결과를 계산하는 잔여 수명 산출 단계를 따른다. 빠진 이력을 0으로 채워 계산하지 않는다.
다축 하중 적용 한계|boundary,process,classification||한 방향에서 얻은 파손 규칙에는 다축 하중 적용 한계가 있다. 복합 하중에 옮길 때에는 방향 사이의 상호작용을 새 항으로 검증한다.
결함 용어 대응|classification,function,process||현미경 용어와 초음파 판독어를 결함 위치를 기준으로 연결해 결함 용어 대응을 정한다. 신호 모양만 비슷하다고 같은 결함으로 단정하지 않는다.
손상 상태의 전이 순서|process,classification,function,other|상태 기계 구조|건전 상태에서 손상 시작, 진행, 실패로 이어지는 손상 상태의 전이 순서를 보존한다. 각 소재가 다음 상태로 넘어가는 조건은 따로 설정한다.
시간 단위 정규화 한계|classification,function,process,boundary||분과 시간을 같은 척도로 바꿀 수 있어도 관측 간격보다 짧은 사건은 복원되지 않는다. 시간 단위 정규화 한계는 단위 변환과 시간 해상도를 구분한다.
박막과 벌크의 층 관계|classification,process,boundary||재료층과 하중원이 놓이는 위치를 기준으로 박막과 벌크의 층 관계를 비교한다. 두께가 크게 다른데 같은 응력값을 그대로 쓰지 않는다.
열화 지표 해석 대응|function,process,classification||질량 감소와 광학 변색을 각각 손상 진행을 보여 주는 관측으로 연결한다. 열화 지표 해석 대응은 두 지표를 같은 물리량으로 환산하지 않는다.
재료군 외삽 제한|boundary,process||금속에서 학습한 소성 규칙은 취성 세라믹의 파손 기구와 다르다. 재료군 외삽 제한에 따라 기구가 맞는지 확인한 뒤 전이한다.
시험 규격의 계층 관계|classification,function||국제, 국가, 사내 기준의 포함 관계와 우선순위를 시험 규격의 계층 관계로 정리한다. 하위 규격을 상위 규격의 완전한 대체물로 보지 않는다.
손상 원인과 관측 지표|process,boundary,other|추론 구조|미세균열은 원인 후보이고 음향 신호는 그 변화를 보여 주는 관측이다. 손상 원인과 관측 지표의 구분을 다른 검사에도 유지한다.
