locator	primary	term_under_review	relations	text	ai_preliminary_reason	ai_review_focus	user_decision_Y_or_N
stage2_(14)state_transition_high_density_train_v49.source.jsonl:145	데이터센터 중간확정	중간확정	process|state|part_of|classification	데이터센터 중간확정은 센서·명령 상태를 전이 중간의 기준 기록으로 묶는 과정이다. 기록자·시각을 남겨 후속 변경의 기준을 정한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v50.source.jsonl:135	항만 중간확정	중간확정	process|state|part_of|classification	항만 중간확정은 전이 사이의 장비·화물 상태가 별도 기록으로 확정되는 과정이며, 기록자와 시각을 남기고 항만 중간확정의 변경순서를 정한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v51.source.jsonl:130	스마트축사 중간확정	중간확정	process|state|part_of|classification	스마트축사 중간확정은 센서값, 팬 동작, 축군 위치를 한 시점의 복구 이력으로 묶어 저장하는 단계다. 기록 서명이 끝나야 이후 상태 변경의 기준점으로 사용할 수 있다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v52.source.jsonl:115	터널 중간확정	중간확정	process|state|part_of|classification	터널 중간확정은 수위·펌프·신호의 일치 결과를 하나의 배수 단계 기록으로 봉인하는 과정이다. 확정 시각 이후의 변화는 다음 단계 사건으로 따로 연결한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v53.source.jsonl:130	공항 중간확정	중간확정	process|state|part_of|classification	공항 중간확정은 활주로 표면, 제설 장비, 대기 항공기 정보를 한 복구 단계의 공식 기록으로 묶는 과정이다. 승인 서명이 끝난 뒤에만 다음 구역을 개방한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v54.source.jsonl:115	클린룸 중간확정	중간확정	process|state|part_of|classification	클린룸 중간확정은 장비 설정, 로트 위치, 환경 측정을 하나의 공정 전이 기록으로 확정하는 과정이다. 기록자 서명 뒤 수정은 새 이력으로만 추가한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v55.source.jsonl:115	열공급 중간확정 — 수용 판정	중간확정	process|state|part_of|classification	열공급 중간확정 — 수용 판정은 보일러 출력, 배관 압력, 수용가 부하를 한 복구 단계의 기준 상태로 저장하는 과정이다. 승인 이후의 조정은 다음 전이로 별도 기록한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v55.source.jsonl:85	열공급 중간확정 — 보일러·배관·수용 판정	중간확정	process|state|part_of|classification	열공급 중간확정 — 보일러·배관·수용 판정은 전이 사이의 보일러·배관·수용가 상태가 별도 기록으로 확정되는 과정이고, 기록자와 시각을 남기며 열공급 중간확정 — 보일러·배관·수용 판정의 변경순서를 정한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v56.source.jsonl:85	해양 부표 중간확정	중간확정	process|state|part_of|classification	해양 부표 중간확정은 센서 동작, 부표 위치, 전원 잔량을 한 관측 단계의 기준 기록으로 고정하는 과정이다. 서명된 시각부터 다음 상태 변화의 경과를 계산한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 전이 중간 기록이라는 뜻을 더 자연스러운 명사구로 바꿔야 하는지 검토	Y
stage2_(14)state_transition_high_density_train_v62.source.jsonl:117	항만 차량통행 — 통로 이동	차량통행	process|state|boundary|function	항만 차량통행 — 통로 이동은 작업 통로가 개방되고 장애물 제거가 확인된 뒤 야드 차량 이동을 허용하는 전이다. 교차 지점은 유도원이 배치될 때만 통과시킨다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 차량 통행량·차량 이동 등 더 자연스러운 명사구가 필요한지 검토	Y
stage2_(14)state_transition_high_density_train_v62.source.jsonl:118	항만 차량통행 — 통행량 조정	차량통행	process|state|comparison|attribute	항만 차량통행 — 통행량 조정은 통행량이 목표 범위에 있는 상태로, 통행량과 측정 시각을 유지하며 게이트 간격과 야드 순서를 조정한다.	SYNTHETIC_COMPOUND_REVIEW	도메인에서 실제 쓰는 용어인지, 차량 통행량·차량 이동 등 더 자연스러운 명사구가 필요한지 검토	Y
