concept|relations|other_type|text
수면 시작 시각의 열린 질문|state,role,process||상담자는 잠자리에 드는 때를 물었지만 내담자는 밤마다 다르다고만 답했다. 수면 시작 시각의 열린 질문은 구체적인 최근 사례가 나오기 전까지 해결된 것으로 표시하지 않는다.
새벽 각성 횟수의 해결 상태|state,attribute,process||내담자는 지난 일주일 동안 매일 두세 번 깼다고 수면 일지를 보여 줬다. 새벽 각성 횟수의 해결 상태는 기간과 범위가 답에 포함되어 질문이 닫힌 경우다.
악몽 내용의 답변 보류|state,boundary,role||상담자가 악몽 장면을 물었을 때 내담자는 오늘은 말하고 싶지 않다고 밝혔다. 악몽 내용의 답변 보류는 질문을 거절한 최종 상태가 아니라 준비되면 다시 다룰 수 있는 합의다.
아침 피로 원인의 미해결|state,boundary,other|원인 정보 부족|수면 시간이 짧은지 약의 영향인지 묻자 내담자는 둘 다 가능하다고 했다. 아침 피로 원인의 미해결은 가능한 설명이 나왔어도 하나로 정해지지 않은 상태다.
카페인 섭취량의 후속 확인|state,process,attribute||내담자는 커피 잔 수를 기억하지 못해 이번 주에 기록해 오기로 했다. 카페인 섭취량의 후속 확인은 다음 면담 과제로 남아 있으므로 현재 답변란을 비워 둔다.
주말 수면 차이의 열린 비교|state,comparison,process||평일 취침은 확인됐지만 주말에 얼마나 늦게 자는지는 아직 묻지 못했다. 주말 수면 차이의 열린 비교는 평일 자료만으로 완료 처리하지 않는다.
약 복용 시점의 해결 질문|state,classification,process||내담자는 저녁 식사 직후 같은 약을 복용한다고 처방 사진과 함께 설명했다. 약 복용 시점의 해결 질문은 약 이름과 시간 대상이 명확히 연결됐다.
복용 누락 경험의 추가 질문|state,process,boundary||약을 매일 먹는다는 답 뒤에도 지난달 놓친 날이 있었는지는 확인되지 않았다. 복용 누락 경험의 추가 질문은 일반 습관과 예외 사례를 구분하기 위해 열린 상태로 둔다.
부작용 시작일의 잠정 답변|state,attribute,boundary||내담자는 약을 바꾼 다음 날쯤 졸림이 시작됐다고 기억했다. 부작용 시작일의 잠정 답변은 대략의 순서는 제공하지만 정확한 날짜로 확정하지 않는다.
처방 변경 이유의 의사 확인 대기|state,role,other|외부 확인 대기|내담자는 약이 바뀐 이유를 자세히 듣지 못했다고 했다. 처방 변경 이유의 의사 확인 대기는 담당 의사의 기록이나 설명이 오기 전까지 열린 질문이다.
식사 횟수 질문의 해결|state,attribute,process||내담자는 평일에는 점심 한 끼만 먹고 주말에는 두 끼를 먹는다고 답했다. 식사 횟수 질문의 해결은 단일 숫자 대신 요일별 차이까지 포함해 닫혔다.
체중 변화 폭의 측정 대기|state,attribute,other|측정값 미확인|옷이 헐거워졌다는 경험은 들었지만 최근 체중은 재지 않았다고 했다. 체중 변화 폭의 측정 대기는 다음 방문 전 체중계 기록이 필요하다.
식욕 저하 시작 사건의 열린 질문|state,process,boundary||내담자는 이별과 직장 갈등이 비슷한 시기에 있었다고 말했다. 식욕 저하 시작 사건의 열린 질문은 어느 사건 뒤 변화가 먼저였는지 추가로 확인해야 한다.
폭식 뒤 감정의 해결 답변|state,process,classification||내담자는 많이 먹은 뒤 안도보다 수치심이 커진다고 분명히 말했다. 폭식 뒤 감정의 해결 답변은 행동 이후 상태가 특정되어 질문을 닫을 수 있다.
구토 행동 여부의 직접 확인|state,boundary,role||상담자는 체중 걱정과 실제 구토 행동을 섞지 않고 따로 물었다. 내담자가 그런 행동은 없다고 답해 구토 행동 여부의 직접 확인은 부정 답변으로 해결됐다.
운동 목적의 미분류 상태|state,classification,other|행동 목적 불확실|내담자는 매일 오래 걷지만 기분 전환인지 체중 감량인지 스스로도 모르겠다고 했다. 운동 목적의 미분류 상태에서는 어느 목표로도 기록을 고정하지 않는다.
출근 불안의 가장 이른 신호 질문|state,process,attribute||심장 두근거림과 걱정 생각은 들었지만 어느 것이 먼저인지 답이 나오지 않았다. 출근 불안의 가장 이른 신호 질문은 다음 실제 상황 기록을 기다린다.
지하철 회피 범위의 해결|state,classification,boundary||내담자는 출근 방향 2호선만 피하고 주말의 짧은 지하철 이용은 가능하다고 했다. 지하철 회피 범위의 해결은 모든 대중교통 회피로 확대하지 않는다.
버스 이용 가능 조건의 후속 질문|state,process,function||내담자가 버스는 탈 수 있다고 말했지만 혼자일 때도 가능한지는 확인되지 않았다. 버스 이용 가능 조건의 후속 질문은 동행 여부와 거리 조건을 나중에 묻는다.
공황 지속 시간의 대략적 답변|state,attribute,boundary||내담자는 가장 심한 구간이 십 분 남짓이라고 했지만 시계를 보지는 않았다고 덧붙였다. 공황 지속 시간의 대략적 답변은 범위 정보로 보존하되 정확한 측정값으로 쓰지 않는다.
실신 경험 여부의 해결|state,boundary,process||어지러워 주저앉은 적은 있지만 의식을 잃은 적은 없다고 내담자는 구분했다. 실신 경험 여부의 해결은 유사한 신체 반응을 같은 사건으로 합치지 않는다.
응급실 방문 횟수의 기록 대조|state,attribute,process||내담자는 두 번이라고 기억했으나 진료 기록에는 세 번이 있었다. 응급실 방문 횟수의 기록 대조는 차이의 원인을 확인할 때까지 하나의 수치로 닫지 않는다.
첫 공황 장소의 해결 답변|state,classification,process||내담자는 첫 발작이 대학 도서관 계단에서 일어났다고 장면을 구체적으로 설명했다. 첫 공황 장소의 해결 답변은 이후 지하철 발작과 구분된다.
가슴 통증 검사 결과의 확인 대기|state,role,other|의료 결과 미확인|검사를 받았다는 사실만 들었고 결과 문서는 아직 가져오지 않았다. 가슴 통증 검사 결과의 확인 대기는 내담자의 "괜찮았던 것 같다"는 기억만으로 닫지 않는다.
직장 지각 빈도의 해결|state,attribute,process||출퇴근 기록에서 지난달 지각이 여섯 번임을 함께 확인했다. 직장 지각 빈도의 해결은 기억보다 문서로 범위가 확정된 상태다.
지각에 대한 회사 조치 질문|state,role,process||경고를 받았다는 말은 나왔지만 구두인지 서면인지는 아직 확인되지 않았다. 지각에 대한 회사 조치 질문은 담당 부서와 조치 형태가 밝혀질 때까지 열린다.
팀장 면담 내용의 부분 해결|state,boundary,role||내담자는 업무 조정 제안을 받았다고 했지만 평가 결과는 말하지 않았다. 팀장 면담 내용의 부분 해결은 제안 항목만 닫고 평가 관련 질문은 남긴다.
업무량 변화의 비교 질문|state,comparison,attribute||부서 이동 전후 업무가 달랐다는 말은 들었지만 시간과 건수는 제시되지 않았다. 업무량 변화의 비교 질문은 느낌만으로 증가나 감소를 확정하지 않는다.
퇴사 의사의 현재 상태 확인|state,boundary,process||지난주에는 당장 그만두고 싶었지만 오늘은 휴직도 고려한다고 내담자는 말했다. 퇴사 의사의 현재 상태 확인은 과거 발언을 그대로 현재 결정으로 유지하지 않는다.
휴직 가능성의 회사 답변 대기|state,role,other|조직 결정 대기|인사팀에 문의했지만 승인 여부는 아직 오지 않았다. 휴직 가능성의 회사 답변 대기는 상담자가 가능하다고 추측해 해결할 수 없는 질문이다.
상사와의 갈등 시작점 질문|state,process,boundary||프로젝트 지연과 공개 질책이 모두 언급됐지만 갈등이 어느 때부터였는지는 모호했다. 상사와의 갈등 시작점 질문은 사건 순서를 더 묻기 전까지 열린다.
동료 지원 여부의 해결|state,role,process||내담자는 두 동료가 회의 자료를 나눠 맡아 줬다고 구체적으로 답했다. 동료 지원 여부의 해결은 정서적 지지와 업무 지원 가운데 후자로 분류된다.
업무 실수 내용의 답변 거절|state,boundary,role||내담자는 회사 비밀 때문에 구체적인 실수 내용은 말할 수 없다고 했다. 업무 실수 내용의 답변 거절은 비협조가 아니라 공개 범위를 지키는 최종 답변으로 기록한다.
복직 목표 시점의 잠정 상태|state,attribute,boundary||내담자는 다음 달쯤 돌아가고 싶지만 의사 소견에 따라 달라질 수 있다고 했다. 복직 목표 시점의 잠정 상태는 희망 날짜와 확정 약속을 구분한다.
가족 구성 질문의 해결|state,classification,process||내담자는 함께 사는 배우자와 자녀 한 명, 따로 사는 부모를 구분해 설명했다. 가족 구성 질문의 해결은 동거 범위와 친족 범위를 각각 보존한다.
부모와의 연락 빈도 확인|state,attribute,process||내담자는 어머니와 주 2회 통화하고 아버지와는 명절에만 연락한다고 답했다. 부모와의 연락 빈도 확인은 두 사람을 하나의 평균으로 합치지 않는다.
배우자 갈등 주제의 열린 질문|state,classification,boundary||다툼이 잦다는 말은 나왔지만 돈, 육아, 친족 문제 가운데 무엇이 중심인지는 확인되지 않았다. 배우자 갈등 주제의 열린 질문은 사례가 제시될 때까지 미분류로 둔다.
