concept|relations|other_type|text
괜찮아요의 방어적 함축|boundary,contrast,state||상담자가 힘든지 묻자 내담자는 시선을 피하며 "괜찮아요"라고 짧게 답했다. 괜찮아요의 방어적 함축은 실제 평온을 확정하기보다 더 말하기 어렵거나 걱정을 끼치기 싫다는 가능성을 남긴다.
별일 없었어요의 축소 표현|boundary,state,other|경험 축소 가능성|주말에 다툼이 있었음을 나중에 밝힌 내담자는 처음에는 "별일 없었어요"라고 말했다. 별일 없었어요의 축소 표현은 사건 부재라는 문자 뜻보다 사건을 작게 다루려는 태도일 수 있다.
그냥 피곤해요의 설명 제한|boundary,state,other|원인 단순화 가능성|내담자는 밤새 불안했지만 결석 이유를 "그냥 피곤해서요"라고 설명했다. 그냥 피곤해요의 설명 제한은 피로가 거짓이라는 뜻이 아니라 다른 정서 원인이 함께 있을 여지를 둔다.
아무렇지도 않아요의 반대 정서 가능성|boundary,contrast,state||울음을 참는 표정으로 "아무렇지도 않아요"라고 말했을 때 문장만으로 정서 부재를 기록하지 않는다. 아무렇지도 않아요의 반대 정서 가능성은 비언어 신호와 이후 설명을 더 물어보게 한다.
신경 쓰지 마세요의 배려 함축|boundary,role,state||내담자는 자신의 위기 연락 때문에 상담자가 번거로울까 봐 "신경 쓰지 마세요"라고 했다. 신경 쓰지 마세요의 배려 함축은 도움이 필요 없다는 최종 거절과 다를 수 있다.
제가 알아서 할게요의 거리 두기|boundary,state,role||가족 도움을 논의하자 내담자는 단호하게 "제가 알아서 할게요"라고 답했다. 제가 알아서 할게요의 거리 두기는 자율성 요구일 수 있으므로 실제 지원 거절 범위를 확인한다.
다들 힘들잖아요의 자기 고통 축소|comparison,boundary,state||내담자는 잠을 거의 못 자면서도 "다들 힘들잖아요"라고 말했다. 다들 힘들잖아요의 자기 고통 축소는 타인의 어려움과 비교해 자신의 지원 필요를 낮추는 함축을 가질 수 있다.
저보다 힘든 사람이 많아요의 도움 회피|comparison,boundary,state||상담 권유를 받은 이유를 말하다가 내담자는 "저보다 힘든 사람이 많아요"라고 했다. 저보다 힘든 사람이 많아요의 도움 회피는 고통의 상대적 크기가 치료 자격을 결정한다는 사실로 받아들이지 않는다.
이 정도는 참아야죠의 의무감|boundary,state,other|내면화 규범|직장 폭언을 설명한 뒤 내담자는 "이 정도는 참아야죠"라고 덧붙였다. 이 정도는 참아야죠의 의무감은 실제 안전 기준보다 조직의 인내 규범을 내면화했을 가능성을 보여 준다.
제가 약해서 그래요의 자기비난|classification,boundary,state||반복되는 공황을 이야기하며 내담자는 "제가 약해서 그래요"라고 결론지었다. 제가 약해서 그래요의 자기비난은 증상의 원인이 성격 결함으로 확정됐다는 뜻이 아니다.
