concept|relations|other_type|text
저온 반복 표본군|classification,attribute,boundary||영하 조건에서 세 차례 이상 시험한 시편만 저온 반복 표본군에 들어간다. 이 묶음에서 얻은 경향을 실온 시편까지 넓혀서는 안 된다.
염수 노출 감소폭|comparison,attribute,boundary||네 합금군 모두 성능이 낮아졌지만 감소한 크기는 서로 달랐다. 염수 노출 감소폭은 저하의 공통 방향과 재료별 정도를 나누어 보여 준다.
표면 코팅 선택편향|boundary,classification||균열이 적은 시편만 후속 측정에 남았다면 표본은 이미 선별된 셈이다. 표면 코팅 선택편향을 무시한 채 그 결과를 전체 생산분의 특성으로 확대할 수 없다.
고온 피로 중앙값|comparison,attribute,boundary||극단값 두 개가 평균을 크게 흔드는 시험에서는 고온 피로 중앙값이 전형적인 수준을 더 잘 요약한다. 다만 중앙값을 쓴다고 넓은 산포까지 사라지는 것은 아니다.
미측정 두께 효과|attribute,boundary,other|미관측 변수|강도 차이를 두께로 설명할 가능성은 남아 있다. 그러나 두께를 재지 않았으므로 미측정 두께 효과는 확인된 원인이 아니라 결론을 제한하는 미관측 변수다.
다기관 시편 일치도|classification,comparison,attribute,boundary||세 시험소에서 방향이 같았다는 다기관 시편 일치도는 한 장비에만 생긴 편향의 가능성을 낮춘다. 그렇다고 시험하지 않은 환경의 재현성까지 보장하지는 않는다.
초기 균열 관찰군|classification,attribute,boundary||첫 주에 결함이 확인된 사례를 초기 균열 관찰군으로 분리한다. 이 초기 상태는 나중의 파단 여부와 같은 분류가 아니다.
습열 노화 기울기|comparison,attribute,boundary||열두 주 동안의 감소를 습열 노화 기울기로 요약할 수 있다. 마지막 구간에서 속도가 완만해졌으므로 그 직선을 시험 기간 밖까지 연장하면 안 된다.
무작위 추출 배치|boundary,classification,attribute||생산 시간대와 판재 위치를 고르게 뽑은 무작위 추출 배치는 대표성을 높인다. 원료 공급처가 한쪽에 치우친 문제까지 이 절차가 없애 주는 것은 아니다.
충격 흡수 분포|comparison,boundary,attribute||두 재료의 충격 흡수 분포가 넓게 겹친다. 평균이 더 큰 재료가 있더라도 그 평균만으로 개별 시편의 우열을 확정하기 어렵다.
