concept|relations|other_type|text
식탁 상판의 평탄도 확보 목표|state,attribute,boundary||완성된 식탁은 접시가 흔들리지 않도록 상판 전체가 한 평면에 가까워야 한다. 식탁 상판의 평탄도 확보 목표는 표면이 반짝이는 것만으로 충족되지 않는다.
네 다리의 안정 지지 목표|function,state,part_of||식탁 네 다리는 하중을 나누어 받으면서 어느 방향으로도 들뜨지 않아야 한다. 네 다리의 안정 지지 목표에는 각 다리 길이와 접합부 강성이 함께 들어간다.
식탁 흔들림 억제 성공 조건|state,attribute,boundary||바닥에 놓고 모서리를 번갈아 눌렀을 때 몸체가 비틀리거나 다리가 뜨지 않으면 조립이 안정적이다. 식탁 흔들림 억제 성공 조건은 한쪽을 벽에 기대어 확인해서는 안 된다.
의자 착석 하중 지지 목표|function,state,attribute||의자는 사용자가 앉고 일어나는 동안 좌판과 다리가 반복 하중을 견뎌야 한다. 의자 착석 하중 지지 목표는 정적인 무게뿐 아니라 앞뒤 이동도 고려한다.
등받이 각도의 편안함 기준|function,attribute,state||등받이는 허리를 받치면서 식사 자세가 지나치게 뒤로 눕지 않는 각도를 가져야 한다. 등받이 각도의 편안함 기준은 치수와 실제 착석 시험을 함께 본다.
의자 좌판 모서리 안전 목표|function,boundary,state||좌판 앞 모서리는 다리를 누르지 않도록 둥글게 다듬고 날카로운 가시는 남기지 않는다. 의자 좌판 모서리 안전 목표는 외형 장식보다 먼저 충족해야 한다.
책장 전도 방지 목표|function,state,boundary||높은 책장은 선반에 책을 채워도 앞으로 넘어지지 않도록 벽 고정이나 넓은 받침을 갖춘다. 책장 전도 방지 목표는 빈 상태의 균형만 확인해서 끝나지 않는다.
선반 처짐 제한 성공 조건|state,attribute,boundary||가장 긴 선반에 예정된 책 무게를 올린 뒤 가운데 휨이 허용치를 넘지 않아야 한다. 선반 처짐 제한 성공 조건은 재료 두께와 지지 간격을 함께 검증한다.
책장 칸 높이 활용 목표|function,attribute,state||큰 화집과 작은 문고본을 함께 넣을 수 있도록 칸 높이를 용도에 맞게 나눈다. 책장 칸 높이 활용 목표는 모든 칸을 같은 치수로 만드는 것과 다르다.
서랍장의 매끄러운 개폐 목표|function,process,state||서랍은 손잡이를 가볍게 당겨도 걸리지 않고 끝까지 곧게 움직여야 한다. 서랍장의 매끄러운 개폐 목표에는 레일 정렬과 몸체 직각이 모두 필요하다.
